127.0.0.1 - - [13/Mar/2024:10:47:43 +0530] "GET / HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [13/Mar/2024:10:47:44 +0530] "GET /Web-development/name_request.jsp HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [13/Mar/2024:10:47:58 +0530] "GET /Web-development/name_request.jsp?uname=Sanskar HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [13/Mar/2024:10:48:32 +0530] "GET /Web-development/name_request.jsp?uname=Sanskar HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [13/Mar/2024:10:50:39 +0530] "GET /Web-development/result_add.jsp HTTP/1.1" 500 3004
0:0:0:0:0:0:0:1 - - [13/Mar/2024:10:50:54 +0530] "GET /Web-development/result_add.jsp?i=2&j=4 HTTP/1.1" 500 3004
0:0:0:0:0:0:0:1 - - [13/Mar/2024:10:51:05 +0530] "GET /Web-development/add.jsp HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [13/Mar/2024:10:51:10 +0530] "GET /Web-development/result_add.jsp?f=77&s=77 HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [13/Mar/2024:10:51:27 +0530] "GET /Web-development/result_add.jsp?f=77&s=77 HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [13/Mar/2024:10:51:32 +0530] "GET /Web-development/result_add.jsp HTTP/1.1" 500 3004
0:0:0:0:0:0:0:1 - - [13/Mar/2024:10:51:46 +0530] "GET /Web-development/result_add.jsp?f=500&s=80 HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [13/Mar/2024:10:55:40 +0530] "GET /Web-development/redirect.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:11:17:12 +0530] "GET /Web-development/login.jsp HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [13/Mar/2024:11:17:14 +0530] "GET /Web-development/login.jsp HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [13/Mar/2024:11:17:22 +0530] "GET /Web-development/userhome.jsp HTTP/1.1" 200 140
0:0:0:0:0:0:0:1 - - [13/Mar/2024:11:55:01 +0530] "GET /Web-development/visits.jsp HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [13/Mar/2024:11:55:02 +0530] "GET /Web-development/visits.jsp HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [13/Mar/2024:11:58:45 +0530] "GET /Web-development/visits.jsp HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [13/Mar/2024:11:58:54 +0530] "GET /Web-development/visits.jsp HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [13/Mar/2024:12:18:09 +0530] "GET /Web-development/add_div.jsp HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [13/Mar/2024:12:18:14 +0530] "GET /Web-development/result_add.jsp?f=66&s=88 HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [13/Mar/2024:12:18:27 +0530] "GET /Web-development/result_add.jsp?f=66&s=4 HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [13/Mar/2024:12:22:08 +0530] "GET /Web-development/add_div.jsp HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [13/Mar/2024:12:22:09 +0530] "GET /Web-development/add_div.jsp HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [13/Mar/2024:12:22:16 +0530] "GET /Web-development/result_add.jsp?f=6&s=2 HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [13/Mar/2024:12:22:36 +0530] "GET /Web-development/add_div.jsp HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [13/Mar/2024:12:22:40 +0530] "GET /Web-development/result_add_div.jsp?f=7&s=2 HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [13/Mar/2024:12:23:50 +0530] "GET /Web-development/add_div.jsp HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [13/Mar/2024:12:23:50 +0530] "GET /Web-development/add_div.jsp HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [13/Mar/2024:12:23:50 +0530] "GET /Web-development/add_div.jsp HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [13/Mar/2024:12:23:54 +0530] "GET /Web-development/result_add_div.jsp?f=5&s=2 HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [13/Mar/2024:12:23:58 +0530] "GET /Web-development/result_add_div.jsp?f=5&s=2 HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [13/Mar/2024:12:25:27 +0530] "GET /Web-development/add_div.jsp HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [13/Mar/2024:12:25:27 +0530] "GET /Web-development/add_div.jsp HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [13/Mar/2024:12:25:27 +0530] "GET /Web-development/add_div.jsp HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [13/Mar/2024:12:25:27 +0530] "GET /Web-development/add_div.jsp HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [13/Mar/2024:12:25:31 +0530] "GET /Web-development/result_add_div.jsp?f=5&s=2 HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [13/Mar/2024:12:25:42 +0530] "GET /Web-development/result_add_div.jsp?f=5&s=0 HTTP/1.1" 500 225
0:0:0:0:0:0:0:1 - - [13/Mar/2024:12:42:45 +0530] "GET /Web-development/page.jsp HTTP/1.1" 200 151
